sku,name,price,description,image_file
TF-HOODIE-001,Black Marble Hoodie,89.99,Premium black hoodie with unique marble wash effect,251030_Black_Marble_Hoodie_Web-Res.jpg
TF-SHORTS-001,Black Marble Shorts,69.99,Matching black shorts with marble wash effect,251030_Black_Marble_Short_Web-Res.jpg
TF-TEE-001,Blocky Letters Terry Tee,65.99,Purple terry cloth tee with blocky letter design,251030_Blocky_Letters_Terry_Tee_Web-Res.jpg
TF-BEANIE-001,Chunky Pom Pom Beanie,26.99,Multi-colored beanie with chunky pom pom detail,251030_Chunky_Pom_Pom_Web-Res.jpg
TF-SWEATER-001,I'm Hot Firetruck Sweater,85.99,Black sweater with playful firetruck graphic,251030_Im_Hot_Firetruck_Sweater_Front_Web-Res.jpg
TF-CARDIGAN-001,Little Print Pointelle Cardigan,45.99,White cardigan with strawberry pattern,251030_Little_Print_Pointelle_Cardigan_Web-Res-v2.jpg
TF-SHORTS-002,Little Print Pointelle Shorts,35.99,Matching shorts with strawberry pattern,251030_Little_Print_Pointelle_Short_Web-Res-v2.jpg
TF-TANK-001,Little Print Pointelle Tank,30.99,White tank top with strawberry pattern,251030_Little_Print_Pointelle_Tank_Web-Res-v2.jpg
TF-HOODIE-002,Dark Knight Hoodie,75.99,Black hoodie with Dark Knight themed design,250925_TeddyFresh_Dark-Knight-Hoodie_SQUARE.jpg
TF-TEE-002,Oh God Tee,36.99,Fun graphic tee with playful design,250925_TeddyFresh_Oh-God-Tee_SQUARE.jpg
TF-BEANIE-002,Patchwork Beanie,28.99,Cream colored beanie with patchwork design,250925_TeddyFresh_Patchwork_Bea-Cream-Front_SQUARE.jpg
TF-SHORTS-003,Cloud Shorts,62.99,Blue shorts with cloud dye effect,250804_TeddyFresh_Cloud_ShortsSQUARE.jpg
TF-RING-001,TF Ring,19.99,Stylish Teddy Fresh ring accessory,250804_TF_Kids_CountryBear_Shirt_Front_SQUARE.jpg
TF-KIDS-001,Kids Country Bear Shirt,25.99,Kids shirt with country bear design,250807_TF_Kids_CountryBear_Shirt_Front_SQUARE.jpg
TF-KIDS-002,Kids Country Bear Shorts,22.99,Kids shorts with country bear design,250807_TF_Kids_CountryBear_Shorts_Front_SQUARE.jpg
TF-DRESS-001,Scallop Trim Dress,68.99,Blue dress with decorative scallop trim,Scallop_Trim_Dress_SQUARE.jpg
TF-DRESS-002,Plaid Dress,85.99,Stylish plaid patchwork dress,plaid_dress.jpg
TF-PANTS-001,Pleated Corduroy Pants,75.99,Green pleated corduroy pants,pleated_corduroy_pants.jpg
